user_id,message,description,reason,category
27,투플리 -Today Playlist-,"??오늘 듣고 있는 플레이리스트, 음악 취향을 공유해요?? 부담감 없이 가볍게 오고가는 클럽입니다!

콘서트메이트를 구하거나 바이닐 LP 스토어 오프라인 팟을 구하는 것또한 OK!",,
28,시나리오 & 대본 분석 워크숍,"대학에서 진행했던 워크숍으로, 참가자분들과 함께 시나리오 및 캐릭터 분석을 트레이닝합니다.",,
29,위클리 회고 클럽,"매 주 회고를 통해 나를 되돌아보고, 더 나은 내가 되려는 사람들이 모인 클럽입니다! 일주일에 한 번씩 회고를 진행합니다. 금 ~ 일요일 사이에 자유롭게 진행해주세요! ??",,
30,필사 리추얼 ?? 손끝으로 음미하기,"인상깊은 문장을 꾹꾹 눌러 담아 써봐요.
문장들을 함께 나누고, 일상을 깊고 단단하게 만들어가요.",,
31,성장에 진심인 사람들이 모이는 아침! WAIM,"안녕하세요! 성장에 진심인 사람들의 미라클 모닝 WAIM입니다!

오전 4시~8시까지 자신의 기상 시간을 선택하고

'타임스탬프'를 이용해 인증을 진행합니다!

현재 8기가 진행되고 있습니다!

",,
32,모닝페이지 ♥ 모닝리추얼,"미라클모닝과 함께 기록하는 습관 만들기♥
-오늘 하고 싶은/할 일
-책 제목,나누고 싶은 구절
-어제 하루에 대한 짧은 흔적/회고
-기상 후 생각과 오늘의 마음 가짐
매일 나누어요!",,
33,개발하는 사람들 ??,"분야 불문! 뉴비부터 시니어까지, 개발자라면 모두 환영합니다???? 질문, 고민, 직무 수다등 자유롭게 대화해요 :)",,
34,리액트 React 개발하는 사람들 ??,"리액트로 개발하는 사람들 모임입니다. 서로 교류하고, 리액트에 대한 정보도 나누고 어려움도 함께 해결해봅시다.",,
35,"주니어 개발자 모여라 ?? 질문, 진로상담, 정보공유","처음 개발을 시작할 때 어떻게 해야할 지 막막하신 분들을 위한 모임입니다.
초보개발자, 주니어 개발자, 개발의 첫 시작이 어려운 분이라면 언제든 들어와서 이야기 나눠요~:)",,
36,Jetpack Compose 사용자 모임,"이미 Production에서 사용중인 개발자와 새로 공부하는 뉴비까지, 안드로이드의 새로운 UI 프레임워크에 대한 최신 정보를 얻으세요!",,
37,?? 애플 개발자들,플랫폼 불문 애플 생태계 소프트웨어 개발자들이라면 모두 환영합니다 (??ω-)～♥”,,
38,Vue.js 뷰 개발자 모임 ??,"Vue.js 배우거나 개발하고 있는 사람들 모임입니다. 빠르게 배우고 어려움도 함께 해쳐나가 보시죠 ????

(홀릭스 채팅도 Vue 3로 만들어졌어요~)",,
39,Node.js 노드 개발 클럽 ??,javascript 기반 Node.js 노드 개발 대화. 초보자부터 현직자까지 자유 참여.,,
40,Flutter와 Dart가 궁금하신가요? 플러터 & 다트 클럽,"Android와 iOS 모바일 어플리케이션부터 웹과 Mac, linux 이젠 Windows까지! 하나의 소스로 여러 플랫폼을 개발 할 수 있는 Dart와 Flutter 맛좀 보고",,
41,Tech Spot?? IT와 비즈니스 인사이트 충전,"IT 분야 최신 트렌드를 함께 이야기하는 곳입니다. AI, 크리에이터이코노미, 플랫폼, 서비스, 스타트업, UX 분야에 대해 자유롭게 이야기합니다.",,
42,?? HOLIX 알쓸신잡 토론클럽,"?? 간단한 소개와 함께 입장해주세요
?? 주제/분야에 관계 없이 재밌는 소식/정보에 대해 자유롭게 이야기 나눕니다.
?? 재밌는 소식이나 정보가 있으면 #톡톡 공유해주세요!",,
43,생성형 AI와 메타버스,"메타버스도 이제 생성형AI로 만들 수가 있습니다.
그러한 정보를 나눕니다.",,
44,"어려운 리더 역할, 함께 공부해요.","정답은 없고 변수는 많은 리더의 역할, 어렵지 않으세요? 저는 솔직히 너무 어렵더라고요. 그래서 공부하고 있습니다. 같이 공부하실 분들 환영해요??",,
45,"HR-er(인사쟁이)들이 함께하는 클럽(정보공유, TIP 공유, 코칭 등)","인사를 처음 시작하는 초심자들과 나날이 깊어지고 넓어져 가는 우리 일들에 대해서 함께 공부하고, 공유하고 서로 도움을 주고 받는 클럽입니다.
* 데이터 분석, ESG 함께해요 :D",,
